entry_time,exit_time,entry_price,exit_price,qty,pnl,bars_held,exit_reason,return_pct
2025-11-19 12:15:00+05:30,2025-11-19 15:15:00+05:30,26027.9,26052.7,3,26.399999999997817,3,eod,0.026399999999997818
2025-11-20 09:15:00+05:30,2025-11-20 15:15:00+05:30,26099.65,26197.4,3,245.25,6,eod,0.24524999999999997
2025-11-21 09:15:00+05:30,2025-11-21 14:15:00+05:30,26087.4,26069.35,3,-102.15000000000873,5,momentum_failed,-0.10215000000000872
2025-11-26 10:15:00+05:30,2025-11-26 15:15:00+05:30,26116.75,26203.5,3,212.25,5,eod,0.21225
2025-11-27 09:15:00+05:30,2025-11-27 15:15:00+05:30,26282.7,26219.85,3,-236.55000000000655,6,eod,-0.23655000000000653
2025-11-28 09:15:00+05:30,2025-11-28 12:15:00+05:30,26240.4,26217.9,3,-115.5,3,momentum_failed,-0.1155
2025-12-01 09:15:00+05:30,2025-12-01 11:15:00+05:30,26284.95,26175.65,3,-375.8999999999978,2,momentum_failed,-0.3758999999999978
2025-12-05 10:15:00+05:30,2025-12-05 15:15:00+05:30,26143.5,26176.65,3,51.450000000004366,5,eod,0.05145000000000437
2025-12-08 09:15:00+05:30,2025-12-08 11:15:00+05:30,26096.5,26035.3,3,-231.60000000000218,2,trend_reversed,-0.2316000000000022
2025-12-12 10:15:00+05:30,2025-12-12 15:15:00+05:30,25990.8,26043.0,3,108.60000000000218,5,eod,0.10860000000000218
2025-12-15 09:15:00+05:30,2025-12-15 15:15:00+05:30,25961.35,26014.0,3,109.95000000000437,6,momentum_failed,0.10995000000000436
2025-12-19 10:15:00+05:30,2025-12-19 15:15:00+05:30,25954.75,25961.4,3,-28.049999999995634,5,eod,-0.028049999999995634
2025-12-22 09:15:00+05:30,2025-12-22 15:15:00+05:30,26129.25,26162.75,3,52.5,6,eod,0.0525
2025-12-23 09:15:00+05:30,2025-12-23 15:15:00+05:30,26184.65,26165.95,3,-104.10000000000218,6,eod,-0.10410000000000218
2025-12-24 09:15:00+05:30,2025-12-24 12:15:00+05:30,26227.2,26181.05,3,-186.45000000000437,3,momentum_failed,-0.18645000000000436
